지표명,구분유형,sex,agegroup,값,단위,se,n,출처,대상,기간
스트레스인지율,전체,,,25.7,%,0.0043163597960549,16833.0,KNHANES 제9기,전국민,2022+2023+2024
스트레스인지율,성별,1.0,,23.8,%,0.0062413136019882,7299.0,KNHANES 제9기,전국민,2022+2023+2024
스트레스인지율,성별,2.0,,27.7,%,0.0054728258899649,9534.0,KNHANES 제9기,전국민,2022+2023+2024
스트레스인지율,연령대,,19-29,30.7,%,0.0121026154640099,1915.0,KNHANES 제9기,전국민,2022+2023+2024
스트레스인지율,연령대,,30-39,34.4,%,0.011120943260063,1966.0,KNHANES 제9기,전국민,2022+2023+2024
스트레스인지율,연령대,,40-49,32.0,%,0.0103639514183203,2739.0,KNHANES 제9기,전국민,2022+2023+2024
스트레스인지율,연령대,,50-59,24.7,%,0.0096264318305476,3110.0,KNHANES 제9기,전국민,2022+2023+2024
스트레스인지율,연령대,,60-69,16.7,%,0.0070108123455837,3688.0,KNHANES 제9기,전국민,2022+2023+2024
스트레스인지율,연령대,,70+,14.3,%,0.0068342928726058,3415.0,KNHANES 제9기,전국민,2022+2023+2024
스트레스인지율,성별×연령대,1.0,19-29,24.5,%,0.0167500654965179,877.0,KNHANES 제9기,전국민,2022+2023+2024
스트레스인지율,성별×연령대,1.0,30-39,30.7,%,0.0156771411597397,885.0,KNHANES 제9기,전국민,2022+2023+2024
스트레스인지율,성별×연령대,1.0,40-49,32.3,%,0.0168271077121406,1153.0,KNHANES 제9기,전국민,2022+2023+2024
스트레스인지율,성별×연령대,1.0,50-59,24.7,%,0.0129717477092229,1286.0,KNHANES 제9기,전국민,2022+2023+2024
스트레스인지율,성별×연령대,1.0,60-69,14.4,%,0.0101630770485848,1594.0,KNHANES 제9기,전국민,2022+2023+2024
스트레스인지율,성별×연령대,1.0,70+,10.7,%,0.0087893084322912,1504.0,KNHANES 제9기,전국민,2022+2023+2024
스트레스인지율,성별×연령대,2.0,19-29,37.5,%,0.0166868242824852,1038.0,KNHANES 제9기,전국민,2022+2023+2024
스트레스인지율,성별×연령대,2.0,30-39,38.6,%,0.0149226344447364,1081.0,KNHANES 제9기,전국민,2022+2023+2024
