지표명,구분유형,sex,agegroup,KNHANES_값,단위,KNHANES_n,CHS_값,CHS_n,차이(KNHANES-CHS)
EQ5D_불안우울문제,성별,1.0,,15.9,%,4710.0,9.2,106776.0,6.7
EQ5D_불안우울문제,성별,2.0,,27.4,%,6209.0,15.7,124821.0,11.7
EQ5D_불안우울문제,성별×연령대,1.0,19-29,16.6,%,593.0,7.1,9695.0,9.5
EQ5D_불안우울문제,성별×연령대,1.0,30-39,14.6,%,582.0,7.3,12063.0,7.3
EQ5D_불안우울문제,성별×연령대,1.0,40-49,16.7,%,733.0,8.0,14971.0,8.7
EQ5D_불안우울문제,성별×연령대,1.0,50-59,18.1,%,847.0,8.8,19837.0,9.3
EQ5D_불안우울문제,성별×연령대,1.0,60-69,15.0,%,998.0,10.3,24916.0,4.7
EQ5D_불안우울문제,성별×연령대,1.0,70+,13.1,%,957.0,14.6,25294.0,-1.5
EQ5D_불안우울문제,성별×연령대,2.0,19-29,31.4,%,715.0,12.6,9830.0,18.8
EQ5D_불안우울문제,성별×연령대,2.0,30-39,27.3,%,712.0,13.9,12165.0,13.4
EQ5D_불안우울문제,성별×연령대,2.0,40-49,27.9,%,1039.0,13.7,16411.0,14.2
EQ5D_불안우울문제,성별×연령대,2.0,50-59,26.6,%,1166.0,13.7,22804.0,12.9
EQ5D_불안우울문제,성별×연령대,2.0,60-69,26.1,%,1327.0,15.7,28476.0,10.4
EQ5D_불안우울문제,성별×연령대,2.0,70+,25.2,%,1250.0,23.7,35135.0,1.5
EQ5D_불안우울문제,연령대,,19-29,23.6,%,1308.0,9.8,19525.0,13.8
EQ5D_불안우울문제,연령대,,30-39,20.6,%,1294.0,10.4,24228.0,10.2
EQ5D_불안우울문제,연령대,,40-49,22.2,%,1772.0,10.8,31382.0,11.4
EQ5D_불안우울문제,연령대,,50-59,22.3,%,2013.0,11.2,42641.0,11.1
EQ5D_불안우울문제,연령대,,60-69,20.7,%,2325.0,13.1,53392.0,7.6
EQ5D_불안우울문제,연령대,,70+,20.1,%,2207.0,19.6,60429.0,0.5
EQ5D_불안우울문제,전체,,,21.7,%,10919.0,12.5,231597.0,9.2
EQ5D_통증문제,성별,1.0,,32.0,%,4708.0,22.5,106779.0,9.5
EQ5D_통증문제,성별,2.0,,44.0,%,6209.0,32.1,124834.0,11.9
EQ5D_통증문제,성별×연령대,1.0,19-29,17.3,%,593.0,10.5,9695.0,6.8
EQ5D_통증문제,성별×연령대,1.0,30-39,27.8,%,582.0,13.7,12063.0,14.1
EQ5D_통증문제,성별×연령대,1.0,40-49,35.5,%,733.0,19.8,14971.0,15.7
EQ5D_통증문제,성별×연령대,1.0,50-59,36.4,%,847.0,23.0,19838.0,13.4
EQ5D_통증문제,성별×연령대,1.0,60-69,36.1,%,998.0,27.9,24917.0,8.2
EQ5D_통증문제,성별×연령대,1.0,70+,41.2,%,955.0,41.2,25295.0,0.0
EQ5D_통증문제,성별×연령대,2.0,19-29,24.7,%,715.0,10.3,9830.0,14.4
EQ5D_통증문제,성별×연령대,2.0,30-39,28.6,%,712.0,17.0,12165.0,11.6
EQ5D_통증문제,성별×연령대,2.0,40-49,40.6,%,1039.0,22.6,16412.0,18.0
EQ5D_통증문제,성별×연령대,2.0,50-59,51.2,%,1166.0,31.9,22807.0,19.3
EQ5D_통증문제,성별×연령대,2.0,60-69,53.7,%,1327.0,40.0,28479.0,13.7
EQ5D_통증문제,성별×연령대,2.0,70+,62.1,%,1250.0,62.2,35141.0,-0.1
EQ5D_통증문제,연령대,,19-29,20.8,%,1308.0,10.4,19525.0,10.4
EQ5D_통증문제,연령대,,30-39,28.2,%,1294.0,15.3,24228.0,12.9
EQ5D_통증문제,연령대,,40-49,38.0,%,1772.0,21.2,31383.0,16.8
EQ5D_통증문제,연령대,,50-59,43.8,%,2013.0,27.4,42645.0,16.4
EQ5D_통증문제,연령대,,60-69,45.1,%,2325.0,34.3,53396.0,10.8
EQ5D_통증문제,연령대,,70+,53.3,%,2205.0,52.9,60436.0,0.4
EQ5D_통증문제,전체,,,38.0,%,10917.0,27.3,231613.0,10.7
스트레스인지율,성별,1.0,,23.8,%,7299.0,21.2,106766.0,2.6
스트레스인지율,성별,2.0,,27.7,%,9534.0,23.5,124822.0,4.2
스트레스인지율,성별×연령대,1.0,19-29,24.5,%,877.0,19.3,9693.0,5.2
