year,cpi,note
1998,61.26,World Bank FP.CPI.TOTL(2010=100) 재기준 · KOSIS 2015~2024 대조 최대차 0.03
1999,61.76,World Bank FP.CPI.TOTL(2010=100) 재기준 · KOSIS 2015~2024 대조 최대차 0.03
2000,63.15,World Bank FP.CPI.TOTL(2010=100) 재기준 · KOSIS 2015~2024 대조 최대차 0.03
2001,65.72,World Bank FP.CPI.TOTL(2010=100) 재기준 · KOSIS 2015~2024 대조 최대차 0.03
2002,67.53,World Bank FP.CPI.TOTL(2010=100) 재기준 · KOSIS 2015~2024 대조 최대차 0.03
2003,69.91,World Bank FP.CPI.TOTL(2010=100) 재기준 · KOSIS 2015~2024 대조 최대차 0.03
2004,72.42,World Bank FP.CPI.TOTL(2010=100) 재기준 · KOSIS 2015~2024 대조 최대차 0.03
2005,74.41,World Bank FP.CPI.TOTL(2010=100) 재기준 · KOSIS 2015~2024 대조 최대차 0.03
2006,76.08,World Bank FP.CPI.TOTL(2010=100) 재기준 · KOSIS 2015~2024 대조 최대차 0.03
2007,78.01,World Bank FP.CPI.TOTL(2010=100) 재기준 · KOSIS 2015~2024 대조 최대차 0.03
2008,81.66,World Bank FP.CPI.TOTL(2010=100) 재기준 · KOSIS 2015~2024 대조 최대차 0.03
2009,83.91,World Bank FP.CPI.TOTL(2010=100) 재기준 · KOSIS 2015~2024 대조 최대차 0.03
2010,86.37,World Bank FP.CPI.TOTL(2010=100) 재기준 · KOSIS 2015~2024 대조 최대차 0.03
2011,89.85,World Bank FP.CPI.TOTL(2010=100) 재기준 · KOSIS 2015~2024 대조 최대차 0.03
2012,91.82,World Bank FP.CPI.TOTL(2010=100) 재기준 · KOSIS 2015~2024 대조 최대차 0.03
2013,93.01,World Bank FP.CPI.TOTL(2010=100) 재기준 · KOSIS 2015~2024 대조 최대차 0.03
2014,94.20,World Bank FP.CPI.TOTL(2010=100) 재기준 · KOSIS 2015~2024 대조 최대차 0.03
2015,94.86,KOSIS 소비자물가지수 총지수 연간 (2020=100)
2016,95.78,KOSIS 소비자물가지수 총지수 연간 (2020=100)
2017,97.65,KOSIS 소비자물가지수 총지수 연간 (2020=100)
2018,99.09,KOSIS 소비자물가지수 총지수 연간 (2020=100)
2019,99.50,KOSIS 소비자물가지수 총지수 연간 (2020=100)
2020,100.00,KOSIS 소비자물가지수 총지수 연간 (2020=100) 기준연도
2021,102.50,KOSIS 소비자물가지수 총지수 연간 (2020=100)
2022,107.72,KOSIS 소비자물가지수 총지수 연간 (2020=100)
2023,111.59,KOSIS 소비자물가지수 총지수 연간 (2020=100)
2024,114.18,KOSIS 소비자물가지수 총지수 연간 (2020=100)
